Nxtimesteps,Sum.of.wis,Variance.in.log.fitness
1,997.722196,0.000120692009385511
2,995.496292,0.000233665427204523
3,993.514257,0.000374814384925900
4,991.627896,0.000539168150749958
5,989.277098,0.000651718112336321
6,987.664148,0.000737889396249783
7,985.536781,0.000952409905369363
8,982.534163,0.001157337180126259
9,982.478265,0.000910859810807758
10,978.619776,0.001033240479549801
11,977.141476,0.001040141819408678
12,977.473107,0.000983850568925621
13,977.960204,0.000872949740414334
14,975.198364,0.001026915386545265
15,973.364479,0.001214071873398761
16,971.855311,0.001288527617986313
17,971.156035,0.001547437164536442
18,970.298847,0.001561384221171660
19,967.988421,0.001644516549273730
20,965.805086,0.001700234146650612
21,964.402316,0.001840870406978775
22,962.798097,0.002100761830488030
23,958.378842,0.002345510503755480
24,957.769823,0.002385389756529363
25,959.892182,0.002054789998970903
26,962.132491,0.001598482424252536
27,962.621118,0.001491896373906120
28,959.566204,0.001737769011984117
29,958.837620,0.001825553467434659
30,957.015403,0.002040574384287379
31,958.112781,0.001920595051742507
32,954.558783,0.002252761590084137
33,951.055678,0.002242680290758142
34,947.492913,0.002595491147601466
35,947.508845,0.002814934221989667
36,945.723226,0.002954432427827899
37,943.219945,0.002874937866104008
38,938.957516,0.003533281686329783
39,942.660436,0.003171875232833671
40,943.313602,0.002960597039856642
41,946.157376,0.002556908264876591
42,944.281760,0.002634587116634870
43,942.699217,0.002674802424860376
44,941.734476,0.003184130093198971
45,942.314896,0.002774596584470581
46,939.693601,0.002723254478519782
47,938.658516,0.003150522884756110
48,933.832605,0.003533982475926145
49,936.176643,0.003095625094747680
50,938.872356,0.002679286647014143
51,938.180564,0.002422850584221054
52,935.418161,0.002984077977862763
53,933.886281,0.003120460256932895
54,934.894276,0.002771863958394711
55,933.618048,0.003276617241753365
56,933.663655,0.002984191577789525
57,936.481380,0.002448075229432006
58,935.516184,0.002448839847817834
59,934.826543,0.002559822728227622
60,937.504650,0.002426592910860718
61,939.604705,0.002216664094213574
62,937.051647,0.002429054297708101
63,935.121628,0.002607591799552268
64,935.415355,0.002349377278626798
65,933.321367,0.002691664135367399
66,930.647454,0.002853153612489290
67,930.647741,0.002757217904460398
68,931.763133,0.002509541112358382
69,929.266455,0.002612715524280362
70,928.641761,0.002811174688379746
71,931.175825,0.002789783459359548
72,931.263891,0.002784418635178701
73,932.286464,0.002618855378280416
74,930.223029,0.002861184193278014
75,928.957670,0.002915017413860844
76,930.126906,0.002860114685669692
77,927.855770,0.002690519562486989
78,929.252190,0.002502330523114240
79,931.987218,0.002262756815287389
80,931.955950,0.002498561501844719
81,931.614516,0.002629599603696823
82,930.987173,0.002618896723149629
83,930.341844,0.002307185036118049
84,930.905617,0.002427634819101731
85,929.148350,0.002361326517472331
86,930.913176,0.002440363678232515
87,931.934245,0.002424650150288316
88,931.475558,0.002450570141810103
89,929.664557,0.002556645049608767
90,928.630228,0.002564238211403748
91,928.138512,0.002555257482576888
92,929.855034,0.002490332809632511
93,929.715980,0.002473743216327218
94,927.312543,0.002525577035123506
95,927.963163,0.002349573371210510
96,926.816684,0.002465468051673537
97,929.102588,0.002608032968299161
98,927.495302,0.002416678148560741
99,929.766539,0.002315866019124486
100,928.098836,0.002739585185691308
101,928.441259,0.002961901133327996
102,925.998858,0.003338757882825336
103,924.096839,0.003302028744675835
104,922.105966,0.003276578234844022
105,919.762723,0.003348333759162652
106,917.592212,0.003142724270545389
107,916.182165,0.003362010290092152
108,917.903176,0.003017181876024598
109,913.818249,0.003187813308863442
110,917.899323,0.002658437688666930
111,914.735628,0.002677355380246898
112,913.835462,0.002804984140456191
113,916.702774,0.002734548254196714
114,919.176220,0.002708090696517518
115,920.846284,0.002450764748932487
116,919.657855,0.002453052711170278
117,922.273352,0.002210152900838823
118,923.457332,0.002286103625805794
119,922.048502,0.002396306397740473
120,923.296016,0.002323856519379194
121,925.830150,0.002273010231410465
122,924.913243,0.002289560416951718
123,925.419597,0.002385720539612064
124,923.322161,0.002639062079877829
125,925.997350,0.002168257057494627
126,926.924671,0.002093040455575661
127,926.970885,0.001951680463976008
128,924.146202,0.002163869853395269
129,922.466976,0.002495412425438387
130,919.699026,0.002678461147538478
131,917.816207,0.003086411319807401
132,917.446724,0.002975713797869685
133,920.938834,0.002753510607907781
134,924.610871,0.002322902568594573
135,923.081614,0.002654359500917180
136,921.001464,0.002722978544751411
137,922.851748,0.002470224073131611
138,920.372086,0.002660280044890695
139,920.742352,0.002440206953741204
140,916.386087,0.002845247044651908
141,915.068605,0.002568321846845216
142,913.823878,0.002991009035004184
143,914.667921,0.002914327961405154
144,913.095727,0.003269949896261252
145,910.928649,0.003558177653320138
146,910.529524,0.003730235349699779
147,910.730381,0.003564289132747034
148,913.580517,0.003446196298018492
149,914.131563,0.003225690876890620
150,913.446405,0.003260136239903301
151,913.843752,0.003637679286734682
152,911.108417,0.003606543413529155
153,912.479617,0.003721517200689203
154,918.153531,0.003258444542102502
155,917.438004,0.003169282812943560
156,915.024496,0.003551192114859897
157,916.922461,0.003210004497582762
158,919.092508,0.002943796019493445
159,915.751343,0.003116436462674078
160,918.873066,0.002736452476269147
161,918.390428,0.002788467686272762
162,920.960374,0.002479552952758255
163,919.990043,0.002785617344278536
164,919.512109,0.002668416477486283
165,920.513228,0.002689600938076558
166,922.437043,0.002412368412985989
167,921.976522,0.002529166677510535
168,923.323521,0.002410217349739275
169,922.844916,0.002273251093329123
170,922.204875,0.002191118604341947
171,921.814381,0.002263616671863123
172,923.565541,0.002299315524911730
173,920.301826,0.002582052876759007
174,917.793319,0.002824656748162107
175,916.327175,0.002823828664555465
176,918.409075,0.003002712685098698
177,917.306953,0.002949427745134834
178,917.479508,0.002797526803535186
179,916.172964,0.002964125039837580
180,917.852357,0.003274087432860722
181,919.598328,0.003019563042765293
182,916.697651,0.002509982551898244
183,917.615161,0.002597545254748694
184,916.935649,0.002795840493489195
185,917.435688,0.002799511915196125
186,917.401580,0.002751925046912115
187,919.648250,0.002736331803683838
188,924.443701,0.002424465087929124
189,920.026803,0.002303586025765082
190,919.993597,0.002199310163886571
191,919.858566,0.002170404165622263
192,919.807623,0.002286314838068868
193,920.203843,0.002324455185487375
194,916.675667,0.002757913640660547
195,916.095143,0.002682897562989999
196,916.876504,0.002710547975205693
197,916.893681,0.002574132328780651
198,918.546481,0.002646175431871816
199,918.382156,0.002760355726831684
200,916.940316,0.002497465386870234
201,918.093733,0.002510837254908591
202,916.052976,0.002872904866898283
203,912.485439,0.003050633917596898
204,912.049496,0.003277254163294752
205,909.066720,0.003519631601661083
206,906.729463,0.003543073657460208
207,907.764497,0.003684964760693563
208,912.129444,0.002932556432465920
209,911.522201,0.003074473962599456
210,915.286336,0.002801296499863526
211,916.269475,0.003034600835993723
212,914.222279,0.003302809239963510
213,914.438098,0.003160250598872178
214,915.392087,0.002862331519181623
215,914.088315,0.003106306859502340
216,910.579477,0.003040393970159345
217,910.444804,0.002927127608744879
218,908.032243,0.003186369709428896
219,909.989581,0.002886278919682606
220,909.701105,0.002868169034568653
221,910.063763,0.002813082806339641
222,908.624155,0.002881537244787302
223,908.072856,0.002947741430127592
224,907.441904,0.003112717514455055
225,909.753685,0.002991530228571175
226,909.419636,0.002849131800436599
227,910.124208,0.002730283307319766
228,907.723799,0.002908997108677913
229,909.901596,0.002632217033733248
230,910.521233,0.002506174996960875
231,913.277598,0.002457273411290829
232,913.642342,0.002526371395839967
233,912.808108,0.002510085757310721
234,910.127254,0.002985760552642368
235,907.537744,0.003035505433326889
236,907.609972,0.002839452531208334
237,908.888449,0.002841673112796246
238,909.633150,0.002741952124585395
239,906.473709,0.002756933807058690
240,902.080872,0.003132001837097411
241,902.267118,0.002888366106502016
242,903.048352,0.002895023858841846
243,906.535285,0.002750549519843757
244,903.629749,0.003280198864541455
245,903.074736,0.003591462516415992
246,906.046381,0.003244372400530551
247,908.828483,0.003294951463438886
248,906.111811,0.003587710442770463
249,908.255702,0.003463637861528262
250,908.704662,0.003367027357007603
251,911.561816,0.002840073256244060
252,912.630201,0.002615851966942123
253,914.158082,0.002400788220422636
254,916.223421,0.002285951721249849
255,912.525782,0.002171092123188470
256,912.276653,0.002211728282563673
257,912.295865,0.002441998209630169
258,910.381210,0.002439789896176035
259,914.371487,0.002313672897254730
260,912.390981,0.002398070842426073
261,913.465982,0.002788112594700905
262,913.876575,0.002931223960822902
263,917.921935,0.002942614592761998
264,922.697132,0.002649321758338831
265,922.468250,0.002628955656937136
266,924.160427,0.002577513738216452
267,926.314598,0.002263360374254804
268,926.002559,0.002431599895257458
269,925.041851,0.002708963825790964
270,924.196950,0.002606861354574577
271,923.963646,0.002538353059123245
272,928.055047,0.002127494702958189
273,928.531085,0.002358605764722355
274,925.802379,0.002568766697178353
275,922.169792,0.002588970264133841
276,920.313874,0.002746449556044673
277,917.335870,0.002915441431678533
278,915.299606,0.002987200323462927
279,912.511504,0.003219827147936448
280,912.079359,0.003688425441031606
281,910.745163,0.003779133174161567
282,913.497087,0.003580613586634255
