Nxtimesteps,Sum.of.wis,Variance.in.log.fitness
454,137.989571,0.058627264786412690
455,136.873065,0.059252535109382935
456,136.530191,0.058784219208903900
457,135.315225,0.054148690280449177
458,134.562588,0.061934731845243708
459,134.616532,0.061349051928654127
460,132.398491,0.060436897884403616
461,133.818152,0.061421111651300694
462,134.533701,0.057779979330524270
463,134.737504,0.061576813878550615
464,134.536631,0.059094668524705914
465,131.852839,0.056822839763219953
466,133.419424,0.061135060442319485
467,132.859333,0.061242058805254858
468,135.229329,0.070599559307875676
469,135.113990,0.066345082792182222
470,133.753356,0.061763050020704459
471,134.180679,0.061081562883488948
472,135.035509,0.061287028534857443
473,134.504650,0.061227711191186411
474,133.351977,0.060756888732555525
475,134.218428,0.065247591658556064
476,136.242269,0.073320351510992282
477,137.055385,0.069671341870667564
478,137.013762,0.063838027961010443
479,139.674382,0.068129789011009093
480,140.681719,0.063451450754208508
481,139.318183,0.063669489178884819
482,140.307678,0.073508089543193503
483,143.480637,0.071345637448119101
484,142.604876,0.064665902039613407
485,144.551632,0.061393494932009636
486,147.187972,0.060126680583126868
487,146.164707,0.058813290292653017
488,148.238711,0.065254537746019400
489,151.294374,0.058538243892951723
490,153.071464,0.061703026463675106
491,151.923286,0.062715844896438291
492,151.430217,0.063963623184049717
493,152.621621,0.065073328479104797
494,148.142468,0.069192258585258862
495,148.496240,0.062863241325653282
496,150.742388,0.063229164136503577
497,150.724805,0.055563500322760993
498,149.948608,0.057820770787394331
499,150.775044,0.062054355844295278
500,153.346958,0.059956748560319129
501,156.065224,0.064580909320705454
502,153.455035,0.062390839276775724
503,155.748522,0.057795366539013210
504,151.317574,0.058223335546871230
505,152.007319,0.055388878336950012
506,152.170353,0.055151110327551087
507,149.974525,0.054698891697156943
508,151.264405,0.056032815405331553
509,150.117545,0.057641886452394986
510,151.395219,0.057617969300647637
511,152.797456,0.054897597643975969
512,153.281492,0.055238843793253237
513,153.214412,0.057899916124281768
514,149.529882,0.060328468163495859
515,148.701820,0.061815046400942215
516,147.882771,0.057487428241158697
517,148.715998,0.056834491689277213
518,149.194310,0.058885783075193716
519,151.190391,0.060268352941357378
520,152.594822,0.062411386668050774
521,153.200348,0.061063363031114377
522,153.374148,0.063344107456453455
523,155.257947,0.060293912606168273
524,154.540196,0.059974466524677854
525,156.326201,0.063613928766590874
526,158.824035,0.061291008170520980
527,158.688503,0.060524409211023138
528,160.674815,0.058217464355429072
529,161.697179,0.057402286817629142
530,159.509454,0.060775207430961965
531,158.641859,0.060723230869217708
532,159.427479,0.065727374334616548
533,159.228903,0.059857943611291028
534,159.708346,0.058912296514263440
535,161.842288,0.058991903130670827
536,161.962949,0.054037444826535580
537,163.846495,0.058019598299471120
538,165.262945,0.058204556199931382
539,165.436092,0.060730573662819982
540,168.643717,0.055032379164237935
541,167.670184,0.059666668775386907
542,166.334752,0.057051313862310403
543,163.876079,0.049466588480108160
544,161.700978,0.050279599465675472
545,155.883990,0.050645444303961840
546,153.765836,0.052081988399078745
547,154.197832,0.055916472354407824
548,156.050640,0.059766235359870391
549,153.677052,0.058344747061885270
550,155.109572,0.062418879206771000
551,156.505721,0.058022896933562829
552,155.566990,0.056369230259486543
553,155.453606,0.061131550638667473
554,156.384323,0.059036876708440468
555,156.272999,0.061516757920909118
556,156.027795,0.062657779694333962
557,157.623430,0.058870312258682181
558,156.300638,0.064500681366093021
559,155.305606,0.061667481833029898
560,157.300771,0.061838994910491468
561,155.967677,0.059347403657248436
562,155.201396,0.061916133595646704
563,156.249386,0.062350858353805071
564,157.290686,0.058820632444752677
565,154.264303,0.060448852424940337
566,158.906396,0.056533597539602298
567,157.615287,0.058306549227418535
568,155.177526,0.065301706231699563
569,157.691259,0.059948479700487750
570,155.719949,0.055794156253357673
571,153.195200,0.056473769220231139
572,154.617859,0.058979607091725901
573,152.506245,0.059306431846330193
574,151.700441,0.060525925417018164
575,148.585620,0.057086359738562548
576,147.227492,0.062017958712866618
577,147.255510,0.060719162283236386
578,145.897533,0.059823314418432631
579,146.972360,0.063326295679496297
580,147.306048,0.060195814334575229
581,148.531069,0.058138607759876823
582,146.849369,0.060485576238124866
583,147.256499,0.061018647765323675
584,147.094586,0.062591344175003269
585,148.324780,0.063903856120946609
586,147.106790,0.062601547492418655
587,150.225136,0.061493071555206426
588,150.568025,0.059823900088013096
589,148.096545,0.058194033940107456
590,147.377521,0.061478357916964411
591,146.829286,0.061901326951254082
592,147.447070,0.065532643047719275
593,145.437632,0.066884292892991082
594,145.819628,0.064501020894555977
595,145.809795,0.057950152657242557
596,142.665463,0.054780052958543185
597,142.937943,0.056094363402658769
598,142.435584,0.056952531459500605
599,143.075072,0.057314429891033337
600,139.375158,0.059412850089628301
601,139.031110,0.061529760981829724
602,142.786796,0.066129477666455758
603,140.875091,0.064674446955084397
604,138.602091,0.063457805348356128
605,140.653780,0.058574184865884851
606,139.902156,0.057570759834830711
607,138.708995,0.057004490524616307
608,139.639082,0.055083058107863313
609,137.582296,0.053395183513999453
610,135.250153,0.057403028354701957
611,134.455105,0.057270311794196657
612,133.924335,0.060393196594269768
613,136.987696,0.061996789666392105
614,134.805867,0.059715707525333957
615,135.190400,0.061026177584882532
616,137.414185,0.059760913434951088
617,140.016703,0.064812878526285686
618,140.929716,0.063919710810152131
619,140.162560,0.056746233229110876
620,137.256626,0.059666592941786702
621,137.518664,0.059458179959012203
622,138.931485,0.064605441484830717
623,139.387916,0.061340403910536655
624,139.089007,0.060316046197538969
625,137.871496,0.060290651608760099
626,137.592716,0.060630030202211152
627,138.050040,0.064182028086748596
628,140.640239,0.062738985010715384
629,139.632390,0.059125451042905799
630,140.855004,0.061199119092256650
631,141.725888,0.062551698003545764
632,142.427788,0.060312346411614211
633,143.160668,0.060202588616372878
634,140.733795,0.061544091698910022
635,139.544901,0.058007160651425679
636,139.206115,0.059267097787316966
637,138.738062,0.063257196095592175
638,140.607414,0.059903304241342686
639,141.665869,0.064987347848154353
640,141.001161,0.061373146369594907
641,142.078927,0.058910316460519994
642,142.730189,0.059638199458109831
643,141.388873,0.057479608902173893
644,138.973479,0.057550428004655887
645,136.716784,0.063291324883757910
646,137.587455,0.059705657610856847
647,139.009015,0.060276115035402950
648,138.459798,0.058116015113472780
649,138.128947,0.060823054379753230
650,138.381338,0.069438859740322781
651,136.182881,0.069727810157863321
652,136.783582,0.067871115274366289
