Entered simulation run.
Population initialized.
Variables initialized, preparing to begin simulation.
log average fitness in generation 1003, 0 generations after burn-in, is: -2.122429
log average fitness in generation 1004, 1 generations after burn-in, is: -2.128824
log average fitness in generation 1005, 2 generations after burn-in, is: -2.127588
log average fitness in generation 1006, 3 generations after burn-in, is: -2.105179
log average fitness in generation 1007, 4 generations after burn-in, is: -2.097371
log average fitness in generation 1008, 5 generations after burn-in, is: -2.086058
log average fitness in generation 1009, 6 generations after burn-in, is: -2.088021
log average fitness in generation 1010, 7 generations after burn-in, is: -2.085937
log average fitness in generation 1011, 8 generations after burn-in, is: -2.093271
log average fitness in generation 1012, 9 generations after burn-in, is: -2.089571
log average fitness in generation 1013, 10 generations after burn-in, is: -2.076260
log average fitness in generation 1014, 11 generations after burn-in, is: -2.067915
log average fitness in generation 1015, 12 generations after burn-in, is: -2.070673
log average fitness in generation 1016, 13 generations after burn-in, is: -2.063323
log average fitness in generation 1017, 14 generations after burn-in, is: -2.047801
log average fitness in generation 1018, 15 generations after burn-in, is: -2.054352
log average fitness in generation 1019, 16 generations after burn-in, is: -2.058322
log average fitness in generation 1020, 17 generations after burn-in, is: -2.057317
log average fitness in generation 1021, 18 generations after burn-in, is: -2.063078
log average fitness in generation 1022, 19 generations after burn-in, is: -2.045553
log average fitness in generation 1023, 20 generations after burn-in, is: -2.033712
log average fitness in generation 1024, 21 generations after burn-in, is: -2.037652
log average fitness in generation 1025, 22 generations after burn-in, is: -2.038830
log average fitness in generation 1026, 23 generations after burn-in, is: -2.021252
log average fitness in generation 1027, 24 generations after burn-in, is: -2.012610
log average fitness in generation 1028, 25 generations after burn-in, is: -2.015885
log average fitness in generation 1029, 26 generations after burn-in, is: -2.012963
log average fitness in generation 1030, 27 generations after burn-in, is: -2.004141
log average fitness in generation 1031, 28 generations after burn-in, is: -2.013720
log average fitness in generation 1032, 29 generations after burn-in, is: -2.000302
log average fitness in generation 1033, 30 generations after burn-in, is: -1.993431
log average fitness in generation 1034, 31 generations after burn-in, is: -1.983247
log average fitness in generation 1035, 32 generations after burn-in, is: -1.967006
log average fitness in generation 1036, 33 generations after burn-in, is: -1.977361
log average fitness in generation 1037, 34 generations after burn-in, is: -1.988640
log average fitness in generation 1038, 35 generations after burn-in, is: -2.008411
log average fitness in generation 1039, 36 generations after burn-in, is: -2.005207
log average fitness in generation 1040, 37 generations after burn-in, is: -2.004279
log average fitness in generation 1041, 38 generations after burn-in, is: -1.985389
log average fitness in generation 1042, 39 generations after burn-in, is: -1.992142
log average fitness in generation 1043, 40 generations after burn-in, is: -2.001498
log average fitness in generation 1044, 41 generations after burn-in, is: -1.985839
log average fitness in generation 1045, 42 generations after burn-in, is: -1.984209
log average fitness in generation 1046, 43 generations after burn-in, is: -2.006448
log average fitness in generation 1047, 44 generations after burn-in, is: -2.006811
log average fitness in generation 1048, 45 generations after burn-in, is: -2.018080
log average fitness in generation 1049, 46 generations after burn-in, is: -2.019759
log average fitness in generation 1050, 47 generations after burn-in, is: -2.000622
log average fitness in generation 1051, 48 generations after burn-in, is: -2.020819
log average fitness in generation 1052, 49 generations after burn-in, is: -2.017691
log average fitness in generation 1053, 50 generations after burn-in, is: -2.011740
log average fitness in generation 1054, 51 generations after burn-in, is: -2.010821
log average fitness in generation 1055, 52 generations after burn-in, is: -1.999960
log average fitness in generation 1056, 53 generations after burn-in, is: -1.992890
log average fitness in generation 1057, 54 generations after burn-in, is: -1.995716
log average fitness in generation 1058, 55 generations after burn-in, is: -1.999437
log average fitness in generation 1059, 56 generations after burn-in, is: -1.998981
log average fitness in generation 1060, 57 generations after burn-in, is: -2.016033
log average fitness in generation 1061, 58 generations after burn-in, is: -2.010684
