Burn-in phase called as ending in generation 503
Individual, Wi
454,0.077613
455,0.157405
456,0.089228
457,0.099489
458,0.143305
459,0.132405
460,0.121238
461,0.089387
462,0.106585
463,0.094831
464,0.084655
465,0.121490
466,0.195833
467,0.100289
468,0.102303
469,0.063437
470,0.103901
471,0.140131
472,0.120079
473,0.131846
474,0.089415
475,0.113608
476,0.133591
477,0.170955
478,0.109944
479,0.088978
480,0.113186
481,0.098281
482,0.080899
483,0.091181
484,0.096233
485,0.125580
486,0.165654
487,0.127302
488,0.120156
489,0.108595
490,0.157784
491,0.135219
492,0.135311
493,0.154555
494,0.142647
495,0.049994
496,0.091544
497,0.090493
498,0.132506
499,0.124239
500,0.098359
501,0.102082
502,0.141532
503,0.115438
504,0.119586
505,0.100323
506,0.142441
507,0.107757
508,0.090807
509,0.119496
510,0.108513
511,0.136361
512,0.114143
513,0.105196
514,0.112576
515,0.150962
516,0.101785
517,0.087233
518,0.099430
519,0.089002
520,0.131428
521,0.095211
522,0.100302
523,0.114224
524,0.114909
525,0.102497
526,0.128204
527,0.122389
528,0.081523
529,0.094115
530,0.146232
531,0.070540
532,0.082148
533,0.101013
534,0.109255
535,0.120824
536,0.098911
537,0.150124
538,0.091866
539,0.137769
540,0.124996
541,0.073592
542,0.151890
543,0.108535
544,0.113106
545,0.116067
546,0.086097
547,0.080694
548,0.064466
549,0.101137
550,0.073806
551,0.082379
552,0.136831
553,0.125236
554,0.113091
555,0.060338
556,0.090474
557,0.134480
558,0.114957
559,0.102093
560,0.109724
561,0.129431
562,0.061890
563,0.115748
564,0.100904
565,0.114182
566,0.141579
567,0.079992
568,0.098914
569,0.133811
570,0.121877
571,0.116519
572,0.091828
573,0.144847
574,0.120795
575,0.119996
576,0.069593
577,0.120950
578,0.136507
579,0.147590
580,0.133284
581,0.171204
582,0.053150
583,0.172790
584,0.077240
585,0.138732
586,0.063955
587,0.165283
588,0.099756
589,0.071191
590,0.116900
591,0.112591
592,0.089201
593,0.119180
594,0.112810
595,0.119030
596,0.088079
597,0.081475
598,0.152461
599,0.113853
600,0.062329
601,0.134787
602,0.163716
603,0.090412
604,0.115507
605,0.086471
606,0.117231
607,0.104756
608,0.115122
609,0.171866
610,0.090142
611,0.123812
612,0.125368
613,0.107146
614,0.091863
615,0.127609
616,0.113468
617,0.133471
618,0.156719
619,0.079687
620,0.063432
621,0.081849
622,0.088657
623,0.141731
624,0.110554
625,0.116768
626,0.079846
627,0.136984
628,0.100932
629,0.126935
630,0.124872
631,0.098102
632,0.158033
633,0.095919
634,0.095021
635,0.085238
636,0.059526
637,0.134856
638,0.115968
639,0.111620
640,0.103783
641,0.142296
642,0.107479
643,0.054323
644,0.116079
645,0.113464
646,0.123989
647,0.112491
648,0.149471
649,0.129777
650,0.094109
651,0.089022
652,0.130237
653,0.124978
654,0.099286
655,0.074147
656,0.084661
657,0.144105
658,0.241794
659,0.090370
660,0.143840
661,0.077005
662,0.089528
663,0.119132
664,0.062324
665,0.102995
666,0.129004
667,0.079388
668,0.079558
669,0.107151
670,0.114319
671,0.105945
672,0.099701
673,0.111058
674,0.099964
675,0.124343
676,0.090971
677,0.082311
678,0.121300
679,0.083574
680,0.091853
681,0.094415
682,0.109892
683,0.102178
684,0.095720
685,0.137772
686,0.063125
687,0.086329
688,0.101860
689,0.107467
690,0.093056
691,0.074281
692,0.155364
693,0.108468
694,0.059581
695,0.105783
696,0.127911
697,0.121420
698,0.057416
699,0.102421
700,0.144762
701,0.080867
702,0.108134
703,0.123259
704,0.060477
705,0.087828
706,0.150749
707,0.165497
708,0.122374
709,0.102861
710,0.111590
711,0.102438
712,0.120649
713,0.118598
714,0.108645
715,0.075407
716,0.157514
717,0.110037
718,0.135605
719,0.091429
720,0.104113
721,0.086840
722,0.102865
723,0.089327
724,0.155279
725,0.115436
726,0.103045
727,0.093048
728,0.195776
729,0.080935
730,0.132094
731,0.064911
732,0.093098
733,0.103236
734,0.103029
735,0.134294
736,0.153890
737,0.119214
738,0.086538
739,0.080327
740,0.082659
741,0.069339
742,0.082210
743,0.138585
744,0.147614
745,0.101066
746,0.113925
747,0.069360
748,0.112978
749,0.083243
750,0.161104
751,0.063983
752,0.098055
753,0.116724
754,0.128509
755,0.094536
756,0.076979
757,0.083222
758,0.117509
759,0.076366
760,0.090841
761,0.177423
762,0.073016
763,0.089302
764,0.092352
765,0.090376
766,0.161942
767,0.150267
768,0.119045
769,0.143061
770,0.114825
771,0.132632
772,0.059799
773,0.130641
774,0.099436
775,0.107751
776,0.107420
777,0.095918
778,0.093961
779,0.098950
780,0.103733
781,0.064454
782,0.110933
783,0.094318
784,0.125688
785,0.121234
786,0.110922
787,0.091381
788,0.116604
789,0.136574
790,0.076449
791,0.111192
792,0.124477
793,0.104445
794,0.080389
795,0.137593
796,0.124822
797,0.081020
798,0.106621
799,0.125225
800,0.154333
801,0.131673
802,0.073687
803,0.092124
804,0.091820
805,0.109863
806,0.115841
807,0.092757
808,0.121237
809,0.111005
810,0.093741
811,0.130629
812,0.113886
813,0.114115
814,0.112324
815,0.090665
816,0.120882
817,0.080768
818,0.103437
819,0.083549
820,0.089788
821,0.068967
822,0.115022
823,0.110223
824,0.094476
825,0.080650
826,0.088396
827,0.058377
828,0.166672
829,0.163896
830,0.094978
831,0.070827
832,0.092337
833,0.115969
834,0.147873
835,0.113299
836,0.125682
837,0.082936
838,0.089054
839,0.123164
840,0.111495
841,0.072136
842,0.068167
843,0.121647
844,0.102412
845,0.099655
846,0.158359
847,0.109653
848,0.099860
849,0.083125
850,0.115063
851,0.077606
852,0.132615
853,0.111031
854,0.127558
855,0.095191
856,0.085582
857,0.071704
858,0.136290
859,0.120443
860,0.066197
861,0.135981
