is_sample time
1 3879165.000000
1 3879165.000000
1 3879401.000000
1 3879401.000000
1 3879382.000000
1 3879382.000000
1 3879045.000000
1 3879045.000000
1 3881261.000000
1 3881261.000000
1 3880853.000000
1 3880853.000000
1 3879119.000000
1 3879119.000000
1 3879233.000000
1 3879233.000000
1 3881215.000000
1 3881215.000000
1 3879274.000000
1 3879274.000000
1 3879377.000000
1 3879377.000000
1 3879177.000000
1 3879177.000000
1 3879051.000000
1 3879051.000000
1 3879783.000000
1 3879783.000000
1 3879831.000000
1 3879831.000000
1 3879832.000000
1 3879832.000000
1 3879869.000000
1 3879869.000000
1 3879765.000000
1 3879765.000000
1 3879289.000000
1 3879289.000000
1 3880040.000000
1 3880040.000000
1 3880761.000000
1 3880761.000000
1 3879814.000000
1 3879814.000000
1 3880353.000000
1 3880353.000000
1 3879791.000000
1 3879791.000000
1 3879118.000000
1 3879118.000000
1 3880732.000000
1 3880732.000000
1 3879367.000000
1 3879367.000000
1 3879114.000000
1 3879114.000000
1 3879828.000000
1 3879828.000000
1 3879697.000000
1 3879697.000000
1 3879112.000000
1 3879112.000000
1 3879028.000000
1 3879028.000000
1 3881509.000000
1 3881509.000000
1 3880746.000000
1 3880746.000000
1 3879124.000000
1 3879124.000000
1 3880001.000000
1 3880001.000000
1 3879245.000000
1 3879245.000000
1 3880164.000000
1 3880164.000000
1 3880362.000000
1 3880362.000000
1 3879502.000000
1 3879502.000000
1 3879772.000000
1 3879772.000000
1 3879929.000000
1 3879929.000000
1 3879515.000000
1 3879515.000000
1 3882067.000000
1 3882067.000000
1 3879299.000000
1 3879299.000000
1 3879852.000000
1 3879852.000000
1 3880893.000000
1 3880893.000000
1 3879094.000000
1 3879094.000000
1 3879548.000000
1 3879548.000000
1 3879178.000000
1 3879178.000000
1 3879468.000000
1 3879468.000000
1 3881397.000000
1 3881397.000000
1 3880816.000000
1 3880816.000000
1 3879253.000000
1 3879253.000000
1 3879981.000000
1 3879981.000000
1 3880196.000000
1 3880196.000000
1 3879186.000000
1 3879186.000000
1 3879809.000000
1 3879809.000000
1 3881705.000000
1 3881705.000000
1 3880154.000000
1 3880154.000000
1 3879000.000000
1 3879000.000000
1 3879184.000000
1 3879184.000000
1 3879801.000000
1 3879801.000000
1 3884304.000000
1 3884304.000000
1 3880214.000000
1 3880214.000000
1 3879591.000000
1 3879591.000000
1 3879049.000000
1 3879049.000000
1 3879266.000000
1 3879266.000000
1 3881534.000000
1 3881534.000000
1 3879207.000000
1 3879207.000000
1 3880028.000000
1 3880028.000000
1 3879027.000000
1 3879027.000000
1 3879692.000000
1 3879692.000000
1 3881089.000000
1 3881089.000000
1 3881546.000000
1 3881546.000000
1 3879064.000000
1 3879064.000000
1 3879841.000000
