Burn-in phase called as ending in generation 743
Individual, Wi
454,0.679352
455,0.570694
456,0.627135
457,0.487594
458,0.632518
459,0.477725
460,0.653874
461,0.480286
462,0.670658
463,0.584817
464,0.644873
465,0.466022
466,0.659469
467,0.512323
468,0.670168
469,0.637071
470,0.597978
471,0.431116
472,0.601394
473,0.711342
474,0.619228
475,0.551780
476,0.647221
477,0.591150
478,0.474694
479,0.596716
480,0.556734
481,0.711725
482,0.581746
483,0.620337
484,0.618962
485,0.534142
486,0.610756
487,0.629459
488,0.725727
489,0.588322
490,0.387797
491,0.700731
492,0.506859
493,0.616574
494,0.534157
495,0.646864
496,0.615694
497,0.593549
498,0.582023
499,0.522823
500,0.585780
501,0.648325
502,0.506386
503,0.664501
504,0.454236
505,0.613515
506,0.656338
507,0.576824
508,0.513592
509,0.581081
510,0.646894
511,0.456932
512,0.525540
513,0.665302
514,0.618879
515,0.707882
516,0.767693
517,0.607763
518,0.544581
519,0.627722
520,0.631941
521,0.702360
522,0.669685
523,0.570424
524,0.572213
525,0.579721
526,0.636366
527,0.633249
528,0.424986
529,0.573546
530,0.590865
531,0.526582
532,0.570352
533,0.551343
534,0.689681
535,0.643398
536,0.583436
537,0.658389
538,0.591654
539,0.586137
540,0.490378
541,0.664474
542,0.622103
543,0.572213
544,0.735628
545,0.577343
546,0.532836
547,0.541281
548,0.526852
549,0.589772
550,0.699235
551,0.456363
552,0.693969
553,0.509498
554,0.544395
555,0.642846
556,0.654164
557,0.531889
558,0.508902
559,0.579867
560,0.563460
561,0.580230
562,0.590981
563,0.553701
564,0.526134
565,0.663411
566,0.533236
567,0.519388
568,0.614434
569,0.567043
570,0.622021
571,0.717815
572,0.431259
573,0.632799
574,0.617130
575,0.514138
576,0.571167
577,0.477122
578,0.570890
579,0.561262
580,0.774326
581,0.610346
582,0.575778
583,0.583312
584,0.572052
585,0.619193
586,0.642244
587,0.495749
588,0.563007
589,0.614836
590,0.464530
591,0.565389
592,0.578468
593,0.729648
594,0.542538
595,0.528646
596,0.584043
597,0.666854
598,0.638279
599,0.528328
600,0.611444
601,0.624660
602,0.560445
603,0.639891
604,0.769730
605,0.609918
606,0.593479
607,0.597547
608,0.693153
609,0.662007
610,0.514041
611,0.428771
612,0.591626
613,0.598249
614,0.585137
615,0.496424
616,0.774862
617,0.619867
618,0.608939
619,0.572622
620,0.556944
621,0.539828
622,0.653146
623,0.635834
624,0.644443
625,0.566911
626,0.772337
627,0.537972
628,0.524552
629,0.542774
630,0.614676
631,0.625624
632,0.585558
633,0.691625
634,0.699695
635,0.563944
636,0.538486
637,0.563545
638,0.589213
639,0.677119
640,0.587703
641,0.615280
642,0.437942
643,0.665236
644,0.617462
645,0.728186
646,0.537085
647,0.647070
648,0.610267
649,0.583370
650,0.505308
651,0.587486
652,0.620288
653,0.693113
654,0.588799
655,0.745259
656,0.538308
657,0.563874
658,0.601157
659,0.678551
660,0.548579
661,0.658121
662,0.512630
663,0.610388
664,0.535232
665,0.672128
666,0.620615
667,0.523536
668,0.609998
669,0.573042
670,0.597259
671,0.676823
672,0.699028
673,0.502706
674,0.627413
675,0.615640
676,0.656902
677,0.656618
678,0.678108
679,0.704382
680,0.688281
681,0.560529
682,0.643911
683,0.612965
684,0.701709
685,0.662934
686,0.631688
687,0.487332
688,0.612656
689,0.804090
690,0.664561
691,0.659042
692,0.718572
693,0.462829
694,0.574165
695,0.700137
696,0.641313
697,0.573743
698,0.604261
699,0.552062
700,0.591159
701,0.455965
702,0.506925
703,0.577708
704,0.556369
705,0.608355
706,0.651570
707,0.494929
708,0.418595
709,0.515629
710,0.580187
711,0.620319
712,0.598953
713,0.572963
714,0.642732
715,0.532084
716,0.456222
717,0.580388
718,0.541614
719,0.550870
720,0.555844
721,0.561856
722,0.663889
723,0.520491
724,0.704180
725,0.418625
726,0.641969
727,0.591215
728,0.557166
729,0.670217
730,0.619329
731,0.588641
732,0.637909
733,0.616610
734,0.544694
735,0.521935
736,0.693684
737,0.514567
738,0.655763
739,0.653821
740,0.623567
741,0.624101
742,0.627059
743,0.539439
744,0.594692
745,0.554339
746,0.571614
747,0.527205
748,0.550410
749,0.538223
750,0.646249
751,0.576169
752,0.565923
753,0.577504
754,0.613581
755,0.635595
756,0.641005
757,0.505175
758,0.727229
759,0.612218
760,0.564214
761,0.659026
762,0.558268
763,0.447416
764,0.594747
765,0.589516
766,0.543437
767,0.535246
768,0.575793
769,0.613881
770,0.560531
771,0.514389
772,0.673395
773,0.695905
774,0.686248
775,0.698204
776,0.605870
777,0.620399
778,0.472577
779,0.558340
780,0.468906
781,0.595250
782,0.676055
783,0.584672
784,0.619809
785,0.514456
786,0.579108
787,0.644731
788,0.584160
789,0.542884
790,0.565291
791,0.625880
792,0.571045
793,0.608922
794,0.737386
795,0.732847
796,0.594020
797,0.620534
798,0.586672
799,0.485656
800,0.502108
801,0.647410
802,0.624026
803,0.595867
804,0.569571
805,0.502659
806,0.568443
807,0.662100
808,0.582559
809,0.533675
810,0.457755
811,0.584789
812,0.673826
813,0.489326
814,0.426376
815,0.560004
816,0.639612
817,0.544114
818,0.606032
819,0.726176
820,0.633274
821,0.669288
822,0.558808
823,0.530930
824,0.735073
825,0.583432
826,0.551732
827,0.711753
828,0.671190
829,0.631915
830,0.582876
831,0.446635
832,0.654649
833,0.708620
834,0.637163
835,0.607148
836,0.593725
837,0.526552
838,0.558483
839,0.578261
