Entered simulation run.
Population initialized.
Variables initialized, preparing to begin simulation.
log average fitness in generation 1345, 102 generations after burn-in, is: -0.552501
log average fitness in generation 1346, 103 generations after burn-in, is: -0.556005
log average fitness in generation 1347, 104 generations after burn-in, is: -0.552781
log average fitness in generation 1348, 105 generations after burn-in, is: -0.559056
log average fitness in generation 1349, 106 generations after burn-in, is: -0.555217
log average fitness in generation 1350, 107 generations after burn-in, is: -0.554845
log average fitness in generation 1351, 108 generations after burn-in, is: -0.552571
log average fitness in generation 1352, 109 generations after burn-in, is: -0.555656
log average fitness in generation 1353, 110 generations after burn-in, is: -0.544080
log average fitness in generation 1354, 111 generations after burn-in, is: -0.541911
log average fitness in generation 1355, 112 generations after burn-in, is: -0.534329
log average fitness in generation 1356, 113 generations after burn-in, is: -0.536750
log average fitness in generation 1357, 114 generations after burn-in, is: -0.533988
log average fitness in generation 1358, 115 generations after burn-in, is: -0.532221
log average fitness in generation 1359, 116 generations after burn-in, is: -0.535511
log average fitness in generation 1360, 117 generations after burn-in, is: -0.530818
log average fitness in generation 1361, 118 generations after burn-in, is: -0.529483
log average fitness in generation 1362, 119 generations after burn-in, is: -0.527689
log average fitness in generation 1363, 120 generations after burn-in, is: -0.521933
log average fitness in generation 1364, 121 generations after burn-in, is: -0.531569
log average fitness in generation 1365, 122 generations after burn-in, is: -0.527192
log average fitness in generation 1366, 123 generations after burn-in, is: -0.529525
log average fitness in generation 1367, 124 generations after burn-in, is: -0.536044
log average fitness in generation 1368, 125 generations after burn-in, is: -0.531145
log average fitness in generation 1369, 126 generations after burn-in, is: -0.532751
log average fitness in generation 1370, 127 generations after burn-in, is: -0.534044
log average fitness in generation 1371, 128 generations after burn-in, is: -0.534192
log average fitness in generation 1372, 129 generations after burn-in, is: -0.542892
log average fitness in generation 1373, 130 generations after burn-in, is: -0.541211
log average fitness in generation 1374, 131 generations after burn-in, is: -0.539506
log average fitness in generation 1375, 132 generations after burn-in, is: -0.543199
log average fitness in generation 1376, 133 generations after burn-in, is: -0.539432
log average fitness in generation 1377, 134 generations after burn-in, is: -0.539415
log average fitness in generation 1378, 135 generations after burn-in, is: -0.533536
log average fitness in generation 1379, 136 generations after burn-in, is: -0.520309
log average fitness in generation 1380, 137 generations after burn-in, is: -0.527411
log average fitness in generation 1381, 138 generations after burn-in, is: -0.534510
log average fitness in generation 1382, 139 generations after burn-in, is: -0.531780
log average fitness in generation 1383, 140 generations after burn-in, is: -0.531126
log average fitness in generation 1384, 141 generations after burn-in, is: -0.531090
log average fitness in generation 1385, 142 generations after burn-in, is: -0.534496
log average fitness in generation 1386, 143 generations after burn-in, is: -0.531064
log average fitness in generation 1387, 144 generations after burn-in, is: -0.527433
log average fitness in generation 1388, 145 generations after burn-in, is: -0.524815
log average fitness in generation 1389, 146 generations after burn-in, is: -0.531784
log average fitness in generation 1390, 147 generations after burn-in, is: -0.531497
log average fitness in generation 1391, 148 generations after burn-in, is: -0.533412
log average fitness in generation 1392, 149 generations after burn-in, is: -0.527943
log average fitness in generation 1393, 150 generations after burn-in, is: -0.534801
log average fitness in generation 1394, 151 generations after burn-in, is: -0.534881
log average fitness in generation 1395, 152 generations after burn-in, is: -0.539554
log average fitness in generation 1396, 153 generations after burn-in, is: -0.533633
log average fitness in generation 1397, 154 generations after burn-in, is: -0.532185
log average fitness in generation 1398, 155 generations after burn-in, is: -0.530513
log average fitness in generation 1399, 156 generations after burn-in, is: -0.519828
log average fitness in generation 1400, 157 generations after burn-in, is: -0.522199
log average fitness in generation 1401, 158 generations after burn-in, is: -0.527736
log average fitness in generation 1402, 159 generations after burn-in, is: -0.517977
log average fitness in generation 1403, 160 generations after burn-in, is: -0.520953
log average fitness in generation 1404, 161 generations after burn-in, is: -0.518132
log average fitness in generation 1405, 162 generations after burn-in, is: -0.516701
log average fitness in generation 1406, 163 generations after burn-in, is: -0.521486
log average fitness in generation 1407, 164 generations after burn-in, is: -0.515062
log average fitness in generation 1408, 165 generations after burn-in, is: -0.516945
log average fitness in generation 1409, 166 generations after burn-in, is: -0.512885
log average fitness in generation 1410, 167 generations after burn-in, is: -0.513232
log average fitness in generation 1411, 168 generations after burn-in, is: -0.516844
log average fitness in generation 1412, 169 generations after burn-in, is: -0.506742
log average fitness in generation 1413, 170 generations after burn-in, is: -0.506463
log average fitness in generation 1414, 171 generations after burn-in, is: -0.509995
log average fitness in generation 1415, 172 generations after burn-in, is: -0.511504
log average fitness in generation 1416, 173 generations after burn-in, is: -0.508467
log average fitness in generation 1417, 174 generations after burn-in, is: -0.515384
log average fitness in generation 1418, 175 generations after burn-in, is: -0.516635
log average fitness in generation 1419, 176 generations after burn-in, is: -0.520728
log average fitness in generation 1420, 177 generations after burn-in, is: -0.518966
log average fitness in generation 1421, 178 generations after burn-in, is: -0.523033
log average fitness in generation 1422, 179 generations after burn-in, is: -0.525483
log average fitness in generation 1423, 180 generations after burn-in, is: -0.529438
log average fitness in generation 1424, 181 generations after burn-in, is: -0.534173
log average fitness in generation 1425, 182 generations after burn-in, is: -0.536500
log average fitness in generation 1426, 183 generations after burn-in, is: -0.531972
log average fitness in generation 1427, 184 generations after burn-in, is: -0.542607
log average fitness in generation 1428, 185 generations after burn-in, is: -0.547833
log average fitness in generation 1429, 186 generations after burn-in, is: -0.547033
log average fitness in generation 1430, 187 generations after burn-in, is: -0.546730
log average fitness in generation 1431, 188 generations after burn-in, is: -0.539303
log average fitness in generation 1432, 189 generations after burn-in, is: -0.541386
log average fitness in generation 1433, 190 generations after burn-in, is: -0.549249
log average fitness in generation 1434, 191 generations after burn-in, is: -0.550873
log average fitness in generation 1435, 192 generations after burn-in, is: -0.556101
log average fitness in generation 1436, 193 generations after burn-in, is: -0.547051
log average fitness in generation 1437, 194 generations after burn-in, is: -0.542234
log average fitness in generation 1438, 195 generations after burn-in, is: -0.540325
log average fitness in generation 1439, 196 generations after burn-in, is: -0.540303
log average fitness in generation 1440, 197 generations after burn-in, is: -0.531543
log average fitness in generation 1441, 198 generations after burn-in, is: -0.528078
log average fitness in generation 1442, 199 generations after burn-in, is: -0.534330
log average fitness in generation 1443, 200 generations after burn-in, is: -0.546311
log average fitness in generation 1444, 201 generations after burn-in, is: -0.539337
log average fitness in generation 1445, 202 generations after burn-in, is: -0.543889
log average fitness in generation 1446, 203 generations after burn-in, is: -0.548698
log average fitness in generation 1447, 204 generations after burn-in, is: -0.551685
log average fitness in generation 1448, 205 generations after burn-in, is: -0.543027
log average fitness in generation 1449, 206 generations after burn-in, is: -0.540803
log average fitness in generation 1450, 207 generations after burn-in, is: -0.546002
log average fitness in generation 1451, 208 generations after burn-in, is: -0.551991
log average fitness in generation 1452, 209 generations after burn-in, is: -0.549778
log average fitness in generation 1453, 210 generations after burn-in, is: -0.547662
log average fitness in generation 1454, 211 generations after burn-in, is: -0.542747
log average fitness in generation 1455, 212 generations after burn-in, is: -0.539747
log average fitness in generation 1456, 213 generations after burn-in, is: -0.544347
log average fitness in generation 1457, 214 generations after burn-in, is: -0.546952
log average fitness in generation 1458, 215 generations after burn-in, is: -0.553121
log average fitness in generation 1459, 216 generations after burn-in, is: -0.571039
log average fitness in generation 1460, 217 generations after burn-in, is: -0.561713
log average fitness in generation 1461, 218 generations after burn-in, is: -0.552990
log average fitness in generation 1462, 219 generations after burn-in, is: -0.555385
log average fitness in generation 1463, 220 generations after burn-in, is: -0.553967
log average fitness in generation 1464, 221 generations after burn-in, is: -0.556088
log average fitness in generation 1465, 222 generations after burn-in, is: -0.556210
log average fitness in generation 1466, 223 generations after burn-in, is: -0.548931
log average fitness in generation 1467, 224 generations after burn-in, is: -0.553795
log average fitness in generation 1468, 225 generations after burn-in, is: -0.555325
log average fitness in generation 1469, 226 generations after burn-in, is: -0.553685
log average fitness in generation 1470, 227 generations after burn-in, is: -0.557834
log average fitness in generation 1471, 228 generations after burn-in, is: -0.552885
log average fitness in generation 1472, 229 generations after burn-in, is: -0.554055
log average fitness in generation 1473, 230 generations after burn-in, is: -0.551790
log average fitness in generation 1474, 231 generations after burn-in, is: -0.546074
log average fitness in generation 1475, 232 generations after burn-in, is: -0.552208
log average fitness in generation 1476, 233 generations after burn-in, is: -0.535894
log average fitness in generation 1477, 234 generations after burn-in, is: -0.526531
log average fitness in generation 1478, 235 generations after burn-in, is: -0.516024
log average fitness in generation 1479, 236 generations after burn-in, is: -0.512709
log average fitness in generation 1480, 237 generations after burn-in, is: -0.509493
log average fitness in generation 1481, 238 generations after burn-in, is: -0.508692
log average fitness in generation 1482, 239 generations after burn-in, is: -0.508643
log average fitness in generation 1483, 240 generations after burn-in, is: -0.506438
log average fitness in generation 1484, 241 generations after burn-in, is: -0.500631
log average fitness in generation 1485, 242 generations after burn-in, is: -0.508225
log average fitness in generation 1486, 243 generations after burn-in, is: -0.504848
log average fitness in generation 1487, 244 generations after burn-in, is: -0.500129
log average fitness in generation 1488, 245 generations after burn-in, is: -0.509768
log average fitness in generation 1489, 246 generations after burn-in, is: -0.509004
log average fitness in generation 1490, 247 generations after burn-in, is: -0.509145
log average fitness in generation 1491, 248 generations after burn-in, is: -0.501560
log average fitness in generation 1492, 249 generations after burn-in, is: -0.504164
log average fitness in generation 1493, 250 generations after burn-in, is: -0.503268
log average fitness in generation 1494, 251 generations after burn-in, is: -0.505517
log average fitness in generation 1495, 252 generations after burn-in, is: -0.508656
log average fitness in generation 1496, 253 generations after burn-in, is: -0.500550
log average fitness in generation 1497, 254 generations after burn-in, is: -0.509782
log average fitness in generation 1498, 255 generations after burn-in, is: -0.515288
log average fitness in generation 1499, 256 generations after burn-in, is: -0.514611
log average fitness in generation 1500, 257 generations after burn-in, is: -0.520927
log average fitness in generation 1501, 258 generations after burn-in, is: -0.518770
log average fitness in generation 1502, 259 generations after burn-in, is: -0.519912
log average fitness in generation 1503, 260 generations after burn-in, is: -0.527381
log average fitness in generation 1504, 261 generations after burn-in, is: -0.530724
log average fitness in generation 1505, 262 generations after burn-in, is: -0.528971
log average fitness in generation 1506, 263 generations after burn-in, is: -0.541169
log average fitness in generation 1507, 264 generations after burn-in, is: -0.543712
log average fitness in generation 1508, 265 generations after burn-in, is: -0.545173
log average fitness in generation 1509, 266 generations after burn-in, is: -0.549827
log average fitness in generation 1510, 267 generations after burn-in, is: -0.552070
log average fitness in generation 1511, 268 generations after burn-in, is: -0.554368
log average fitness in generation 1512, 269 generations after burn-in, is: -0.556242
log average fitness in generation 1513, 270 generations after burn-in, is: -0.559975
