Entered simulation run.
Population initialized.
Variables initialized, preparing to begin simulation.
log average fitness in generation 953, 105 generations after burn-in, is: -11.888300
log average fitness in generation 954, 106 generations after burn-in, is: -11.941846
log average fitness in generation 955, 107 generations after burn-in, is: -11.943713
log average fitness in generation 956, 108 generations after burn-in, is: -11.941086
log average fitness in generation 957, 109 generations after burn-in, is: -11.943427
log average fitness in generation 958, 110 generations after burn-in, is: -11.925878
log average fitness in generation 959, 111 generations after burn-in, is: -11.936551
log average fitness in generation 960, 112 generations after burn-in, is: -11.846929
log average fitness in generation 961, 113 generations after burn-in, is: -11.813472
log average fitness in generation 962, 114 generations after burn-in, is: -11.773522
log average fitness in generation 963, 115 generations after burn-in, is: -11.775101
log average fitness in generation 964, 116 generations after burn-in, is: -11.818385
log average fitness in generation 965, 117 generations after burn-in, is: -11.789861
log average fitness in generation 966, 118 generations after burn-in, is: -11.770370
log average fitness in generation 967, 119 generations after burn-in, is: -11.769084
log average fitness in generation 968, 120 generations after burn-in, is: -11.782538
log average fitness in generation 969, 121 generations after burn-in, is: -11.747146
log average fitness in generation 970, 122 generations after burn-in, is: -11.792191
log average fitness in generation 971, 123 generations after burn-in, is: -11.819607
log average fitness in generation 972, 124 generations after burn-in, is: -11.856349
log average fitness in generation 973, 125 generations after burn-in, is: -11.862711
log average fitness in generation 974, 126 generations after burn-in, is: -11.899820
log average fitness in generation 975, 127 generations after burn-in, is: -11.916652
log average fitness in generation 976, 128 generations after burn-in, is: -11.830630
log average fitness in generation 977, 129 generations after burn-in, is: -11.809792
log average fitness in generation 978, 130 generations after burn-in, is: -11.778214
log average fitness in generation 979, 131 generations after burn-in, is: -11.747660
log average fitness in generation 980, 132 generations after burn-in, is: -11.725081
log average fitness in generation 981, 133 generations after burn-in, is: -11.649869
log average fitness in generation 982, 134 generations after burn-in, is: -11.685746
log average fitness in generation 983, 135 generations after burn-in, is: -11.673801
log average fitness in generation 984, 136 generations after burn-in, is: -11.689167
log average fitness in generation 985, 137 generations after burn-in, is: -11.717150
log average fitness in generation 986, 138 generations after burn-in, is: -11.725316
log average fitness in generation 987, 139 generations after burn-in, is: -11.726626
log average fitness in generation 988, 140 generations after burn-in, is: -11.743418
log average fitness in generation 989, 141 generations after burn-in, is: -11.714182
log average fitness in generation 990, 142 generations after burn-in, is: -11.709136
log average fitness in generation 991, 143 generations after burn-in, is: -11.747321
log average fitness in generation 992, 144 generations after burn-in, is: -11.714653
log average fitness in generation 993, 145 generations after burn-in, is: -11.659183
log average fitness in generation 994, 146 generations after burn-in, is: -11.635931
log average fitness in generation 995, 147 generations after burn-in, is: -11.637957
log average fitness in generation 996, 148 generations after burn-in, is: -11.578929
log average fitness in generation 997, 149 generations after burn-in, is: -11.489857
log average fitness in generation 998, 150 generations after burn-in, is: -11.429942
log average fitness in generation 999, 151 generations after burn-in, is: -11.450118
log average fitness in generation 1000, 152 generations after burn-in, is: -11.434346
log average fitness in generation 1001, 153 generations after burn-in, is: -11.427628
log average fitness in generation 1002, 154 generations after burn-in, is: -11.466053
log average fitness in generation 1003, 155 generations after burn-in, is: -11.529381
log average fitness in generation 1004, 156 generations after burn-in, is: -11.558148
log average fitness in generation 1005, 157 generations after burn-in, is: -11.548378
log average fitness in generation 1006, 158 generations after burn-in, is: -11.526833
log average fitness in generation 1007, 159 generations after burn-in, is: -11.492910
log average fitness in generation 1008, 160 generations after burn-in, is: -11.512739
log average fitness in generation 1009, 161 generations after burn-in, is: -11.530776
log average fitness in generation 1010, 162 generations after burn-in, is: -11.551369
log average fitness in generation 1011, 163 generations after burn-in, is: -11.596305
log average fitness in generation 1012, 164 generations after burn-in, is: -11.618410
log average fitness in generation 1013, 165 generations after burn-in, is: -11.670493
log average fitness in generation 1014, 166 generations after burn-in, is: -11.726658
log average fitness in generation 1015, 167 generations after burn-in, is: -11.737866
log average fitness in generation 1016, 168 generations after burn-in, is: -11.813251
log average fitness in generation 1017, 169 generations after burn-in, is: -11.837460
log average fitness in generation 1018, 170 generations after burn-in, is: -11.859900
log average fitness in generation 1019, 171 generations after burn-in, is: -11.806288
log average fitness in generation 1020, 172 generations after burn-in, is: -11.779554
log average fitness in generation 1021, 173 generations after burn-in, is: -11.793137
log average fitness in generation 1022, 174 generations after burn-in, is: -11.812037
log average fitness in generation 1023, 175 generations after burn-in, is: -11.807284
