Nxtimesteps,Sum.of.wis,Variance.in.log.fitness
1,972.485023,0.002662675538536836
2,948.020866,0.004116815340157928
3,928.037848,0.005485023658890910
4,905.044616,0.006813262425883050
5,879.956773,0.008630084036338794
6,864.876139,0.008929300466405278
7,852.875033,0.010199695533793313
8,835.725395,0.011618448612970757
9,810.393454,0.012534688529971643
10,797.250264,0.014697019548196470
11,790.537959,0.013453110725268591
12,775.368649,0.014971154477851266
13,764.778846,0.015521037714132191
14,753.973479,0.015557079687267833
15,743.315865,0.016684529081056582
16,735.107272,0.018168141870286234
17,726.570278,0.018282185725013032
18,720.481723,0.018337252395711857
19,713.502289,0.017414044330987630
20,712.629511,0.016862925695669457
21,705.977530,0.018522762626499482
22,696.288635,0.019076793216204400
23,691.666232,0.017166199228140264
24,683.777402,0.017427442349830815
25,675.511039,0.017334534936572759
26,672.725642,0.019481315573857447
27,662.599677,0.022058145117260838
28,656.446302,0.018750706204204746
29,654.259447,0.019176713347062925
30,642.644945,0.021472394920351710
31,636.521127,0.022858830055414156
32,624.232140,0.023635283687240584
33,618.318419,0.027336137225168037
34,610.323726,0.025494326457972928
35,609.864325,0.022984912578962950
36,607.325274,0.022732866473648788
37,606.885868,0.023838856734288510
38,602.057151,0.024536804642279458
39,594.653217,0.025413196091263111
40,589.374725,0.027391219030018246
41,590.157499,0.024802249147123999
42,590.281395,0.025043442203365861
43,587.727562,0.025850875379824324
44,585.528455,0.026538532026657610
45,581.834610,0.028664404663654976
46,575.098878,0.029020408522484151
47,570.422853,0.029289914159564209
48,565.105500,0.028972669872746340
49,565.387928,0.030104512389802187
50,563.990784,0.029819073881216768
51,560.896268,0.025567698218094060
52,557.116623,0.025320458388705558
53,550.726065,0.024865164737680051
54,553.938611,0.024498638384376433
55,552.606894,0.023447828290989021
56,547.961439,0.025433076647725320
57,549.575521,0.026398549350195838
58,544.254892,0.024404848562054458
59,544.871289,0.023708881918555517
60,540.493618,0.025474063654577970
61,535.428434,0.025723198899996996
62,537.841921,0.024591016247215450
63,533.590208,0.024691133350744063
64,531.918452,0.024652105294862003
65,528.773917,0.028665368793312117
66,527.541205,0.028585712731489882
67,528.152004,0.025990865158022826
68,530.275735,0.025381160302336121
69,521.255732,0.025914977613423866
70,524.577055,0.027752821410867400
71,519.865831,0.026369430291096920
72,519.019357,0.026642362666145971
73,516.285253,0.026360631018942222
74,514.690588,0.026725721220044615
75,516.375466,0.028820480580589673
76,519.557391,0.028412055554001128
77,520.727671,0.028157648839070723
78,520.024731,0.028454628131560977
79,517.890132,0.030183470468801925
80,518.685456,0.027299457538684825
81,516.177046,0.028742993485561218
82,512.037059,0.027862656632910050
83,510.552784,0.028598610052888780
84,507.477308,0.029445401865485762
85,513.265416,0.032524020902958937
86,507.086529,0.030732150889340431
87,501.335713,0.030699085726476831
88,497.417265,0.030565145884186688
89,496.673055,0.029694523128323210
90,492.958017,0.026160650539679840
91,499.346774,0.025633742783139242
92,501.376669,0.027127959574750889
93,500.321267,0.026120155768933447
94,501.778350,0.027749554719662829
95,503.686147,0.027529981411087315
96,506.418135,0.025386972235823303
97,508.777743,0.024215101550665554
98,503.737055,0.025141268045792652
99,503.984492,0.025364377244054482
100,499.247852,0.025062730317321522
101,500.198855,0.024828113857468054
102,504.653809,0.023016039621675300
103,508.322864,0.024164545521467722
104,499.368274,0.025641377376373415
105,499.008929,0.027610828972914531
106,500.776829,0.027228823587472611
107,497.155253,0.029983156281726129
108,500.804048,0.029822713223167870
109,500.805424,0.030113178860700116
110,502.019797,0.031233018963168453
111,503.287438,0.031290262676485894
112,503.580118,0.027035660021450997
113,502.520590,0.025648694854541271
114,502.499070,0.027497892599573907
115,501.862667,0.028224763638277927
116,505.379747,0.025215676937210576
117,501.145512,0.025383581146504366
118,502.487500,0.025943559399197364
119,502.229746,0.025787696738927928
120,498.770752,0.024421432382910436
121,496.442663,0.024387045470283707
122,493.147108,0.027815804543273454
123,492.385631,0.026646945991887081
124,488.010127,0.027107709307110352
125,489.462782,0.029144712752241262
126,489.602255,0.029541269677123370
127,482.566214,0.026902596525181555
128,486.396475,0.029165595291411963
129,485.607865,0.030346617451446525
130,478.288740,0.028319679480148446
131,476.582193,0.029509819908139768
132,477.956359,0.028349738283767214
133,476.102364,0.028217988657322720
134,477.962602,0.028777329673218745
135,479.906860,0.027067069898309502
136,481.467421,0.027199166583512430
137,482.461175,0.025766029953189204
138,483.355352,0.026268145073749700
139,484.064808,0.025169236913125736
140,482.080314,0.024976712449039862
141,484.469334,0.024833227390298501
142,482.223580,0.027082896311906780
143,477.441119,0.025489649181192273
144,474.286342,0.025402155189714150
145,469.389383,0.026203891648107078
146,465.918740,0.025079801492844282
147,461.317430,0.024954864558952641
148,460.693803,0.028149457614494357
149,461.358847,0.024292335494093376
150,461.999908,0.027098926134168064
151,463.941184,0.027961218197972246
152,466.895006,0.029581803244600319
153,466.779604,0.027919364759643326
154,467.263559,0.027391788005895878
155,467.453443,0.027856843606338718
156,464.382243,0.028431542681425895
157,458.511523,0.028841813556209329
158,449.663028,0.031013966337178778
159,451.931378,0.031595268086280187
160,453.630616,0.032772627260943155
161,450.521105,0.032545924952116313
162,449.131551,0.032823006314522847
163,449.462553,0.028646152378806498
164,444.472825,0.028277340141306943
165,445.462431,0.026682926836522756
166,446.308546,0.026221476410262901
167,448.803354,0.024449929594762304
168,446.170421,0.024780192559951040
169,446.437976,0.026720158417482820
170,445.983876,0.026570631545675003
171,439.261749,0.030195227516893772
172,437.643519,0.030495183061102459
173,431.380347,0.032704186688282406
174,429.612729,0.032107535551130176
175,430.927151,0.030107161452259588
176,431.252380,0.030243454904114009
177,428.553368,0.030803643119546118
178,428.881566,0.030243238723103995
179,432.615912,0.030177682488594676
180,427.233710,0.031729371965977207
181,421.775457,0.029153616394548887
182,425.222884,0.032447381230026523
183,424.899988,0.030144626592453403
184,426.833256,0.029732648314502976
185,428.796361,0.026510606139919408
186,430.290898,0.027834503830781582
187,426.984381,0.028218736453237050
188,425.935297,0.029889593107144782
189,428.251825,0.028144523452629969
190,431.926207,0.029357486590703717
191,433.956314,0.029663780823823083
192,428.394504,0.030366902593263963
193,430.389557,0.029172898324084425
194,423.393919,0.028168358713411685
195,424.587277,0.028195777641340927
196,432.210904,0.029494338691888687
197,434.481740,0.030095543132411740
198,434.925866,0.029705169200353720
199,434.103093,0.031422903866808183
200,428.984340,0.030595471203458201
201,430.519062,0.031079184081100570
202,428.300081,0.028418204863909457
203,421.341648,0.029142193219053786
204,421.559306,0.029244457541698573
205,422.584850,0.029371611104984190
206,424.034359,0.029555470473127295
207,421.423891,0.028835782807848993
208,422.940137,0.030464241775739781
209,420.077337,0.029607296890654420
210,422.361452,0.028908150835428820
211,423.119748,0.030442877089558371
212,427.823523,0.032053892018193732
213,431.641755,0.032118400199220895
214,431.475807,0.029237107586841130
215,430.200013,0.028212921215990748
216,433.636592,0.028533997192276211
217,433.520120,0.029383745420438749
218,430.349894,0.029285890474244236
219,430.494608,0.031623766266188347
220,429.014051,0.033024840834270174
221,431.139224,0.030344486392236299
222,429.217205,0.031053331768631554
223,429.043807,0.030720039913395433
224,426.824391,0.031363695059463098
225,429.892533,0.030199581960454996
226,428.345453,0.029789883498814982
227,429.699492,0.028713655084999765
228,423.762310,0.026597275592854623
229,428.351207,0.027121174343113164
230,424.528978,0.027537418787846629
231,425.071901,0.027469532559976424
232,424.919143,0.028279675610795935
233,422.123521,0.028454306568759948
234,421.080259,0.030622334183287827
235,420.527294,0.028080387515076726
236,417.257542,0.028232866602069154
237,417.151294,0.027638925882712887
238,418.359919,0.029599411446407473
239,415.910896,0.029439895107488793
240,413.161254,0.031009873276040965
241,415.128000,0.032075218466229266
242,414.199472,0.029620841265930620
243,415.573817,0.029998349550858328
244,420.304174,0.028715809551138668
245,421.052499,0.030974636564960328
246,418.711536,0.031981709045505083
247,414.016291,0.034092049077073229
248,418.579792,0.031168177233849275
249,414.175080,0.031599864300318754
250,415.536182,0.033240465567629572
251,415.337616,0.030788790277177291
252,418.930538,0.030014444858462361
253,416.795792,0.030225465816180758
254,419.257583,0.030206647877634538
255,416.636973,0.029901812236907781
256,416.704880,0.031383505396937066
257,410.547441,0.031765289813221236
258,417.718188,0.030578464348700304
259,417.773865,0.031209594564747350
260,415.760583,0.033868833934285449
261,416.490739,0.030854128394569011
262,418.326276,0.030644198421419203
263,416.939494,0.030115115890001418
264,417.586347,0.029308141328928804
265,419.545198,0.030171390792657366
266,417.176994,0.030670465451912043
267,415.667322,0.031550953793926528
268,420.668017,0.029310743623243121
269,422.301094,0.030004242494457649
270,422.404520,0.029490993066275641
271,421.172449,0.029629011341438485
272,425.645174,0.030145899991818510
273,426.814866,0.030791671340441626
274,428.035218,0.027971408578283567
275,427.753925,0.028365497431293657
276,426.360440,0.027154228979982833
277,424.083612,0.029563075063229322
278,428.687048,0.028121662354889613
279,431.417769,0.028923194757340166
280,432.191708,0.028481167153819206
281,428.563023,0.029653118770583319
282,429.018709,0.028676490876504562
283,427.257982,0.028848135855449448
284,425.796695,0.028823254256500102
285,427.763665,0.027822962640779943
286,430.821546,0.027957814316284295
287,424.672125,0.025359907731259960
288,419.376123,0.028394557628480050
289,419.502684,0.029045316311548205
290,421.471911,0.029909665574857434
291,421.258521,0.028539697368670548
292,419.226615,0.026571650441692535
293,420.673649,0.028562823111932908
294,420.245610,0.027009540705064630
295,418.313634,0.027419018143637192
296,415.296598,0.028891732952332147
297,410.673651,0.026369734337271578
298,405.831954,0.028843216908391055
299,402.435281,0.031351911578785821
300,401.135077,0.029461625484192011
301,404.049242,0.030399534955930407
302,406.259710,0.030563562758600817
303,403.439177,0.027542036193556073
304,403.772496,0.029142368250139879
305,402.400916,0.029785390389846563
306,406.119921,0.029456239228841656
307,404.430921,0.029225583804421095
308,406.697200,0.028143915165895431
309,404.259416,0.029114735127646892
310,403.762513,0.032371059289270934
311,404.190517,0.033686684118831252
