Burn-in phase called as ending in generation 552
Individual, Wi
1,0.220315
2,0.344003
3,0.302599
4,0.198081
5,0.253378
6,0.303947
7,0.332706
8,0.336548
9,0.380636
10,0.231188
11,0.393965
12,0.401776
13,0.412040
14,0.325041
15,0.386059
16,0.326832
17,0.401555
18,0.326383
19,0.411830
20,0.254404
21,0.457821
22,0.375256
23,0.447194
24,0.329699
25,0.471702
26,0.300949
27,0.326541
28,0.281661
29,0.374232
30,0.463409
31,0.455192
32,0.275201
33,0.226848
34,0.296450
35,0.258195
36,0.435569
37,0.291816
38,0.239437
39,0.419478
40,0.335012
41,0.377061
42,0.238609
43,0.400984
44,0.364512
45,0.358131
46,0.247930
47,0.243411
48,0.351281
49,0.300141
50,0.375610
51,0.334405
52,0.345740
53,0.390466
54,0.303689
55,0.434995
56,0.339727
57,0.238594
58,0.289300
59,0.390147
60,0.389616
61,0.214459
62,0.376705
63,0.451622
64,0.353118
65,0.315042
66,0.375686
67,0.334725
68,0.341527
69,0.452262
70,0.361393
71,0.447341
72,0.381566
73,0.438458
74,0.307603
75,0.402787
76,0.389911
77,0.375351
78,0.328836
79,0.319582
80,0.413332
81,0.233921
82,0.310178
83,0.225849
84,0.389946
85,0.230952
86,0.391152
87,0.404920
88,0.422694
89,0.478470
90,0.433050
91,0.241147
92,0.350381
93,0.310224
94,0.354927
95,0.474260
96,0.396053
97,0.317326
98,0.394439
99,0.493940
100,0.377055
101,0.337769
102,0.305556
103,0.340830
104,0.308830
105,0.297578
106,0.422683
107,0.171909
108,0.445690
109,0.461220
110,0.272735
111,0.329082
112,0.383850
113,0.348767
114,0.369818
115,0.392173
116,0.335426
117,0.372063
118,0.289931
119,0.382088
120,0.321300
121,0.381885
122,0.286256
123,0.346735
124,0.344461
125,0.471826
126,0.348361
127,0.204588
128,0.307070
129,0.427339
130,0.411534
131,0.294419
132,0.388917
133,0.362227
134,0.308973
135,0.295960
136,0.321108
137,0.238037
138,0.442208
139,0.431471
140,0.351483
141,0.390394
142,0.302760
143,0.420162
144,0.337204
145,0.310742
146,0.355143
147,0.390646
148,0.403346
149,0.410332
150,0.333289
151,0.320436
152,0.288892
153,0.365367
154,0.307710
155,0.421441
156,0.321649
157,0.318440
158,0.304238
159,0.488924
160,0.241532
161,0.390615
162,0.379967
163,0.291464
164,0.245029
165,0.356156
166,0.357163
167,0.266107
168,0.192895
169,0.391478
170,0.301862
171,0.303058
172,0.319771
173,0.359408
174,0.295200
175,0.348576
176,0.382673
177,0.273293
178,0.423044
179,0.327090
180,0.220176
181,0.293893
182,0.383213
183,0.347888
184,0.281102
185,0.258976
186,0.216678
187,0.366040
188,0.314417
189,0.331110
190,0.415903
191,0.486042
192,0.370956
193,0.447326
194,0.323155
195,0.358697
196,0.405569
197,0.316386
198,0.387786
199,0.365494
200,0.411781
201,0.310345
202,0.418443
203,0.265292
204,0.265988
205,0.298270
206,0.394865
207,0.320976
208,0.237293
209,0.352778
210,0.345426
211,0.308573
212,0.448282
213,0.437104
214,0.315021
215,0.382712
216,0.289596
217,0.373076
218,0.320374
219,0.355727
220,0.443026
221,0.323886
222,0.392934
223,0.363832
224,0.391454
225,0.367856
226,0.443601
227,0.322685
228,0.299407
229,0.368371
230,0.348688
231,0.295998
232,0.367495
233,0.321026
234,0.261688
235,0.217275
236,0.273357
237,0.301833
238,0.299004
239,0.370076
240,0.409946
241,0.299465
242,0.231499
243,0.303710
244,0.318162
245,0.274129
246,0.464899
247,0.298461
248,0.373424
249,0.474581
250,0.330600
251,0.264464
252,0.286974
253,0.216239
254,0.324866
255,0.314091
256,0.388754
257,0.323362
258,0.376044
259,0.393819
260,0.276820
261,0.333826
262,0.352734
263,0.334716
264,0.335606
265,0.362612
266,0.380067
267,0.355190
268,0.464861
269,0.319373
270,0.335572
271,0.425001
272,0.359685
273,0.470986
274,0.317677
275,0.366513
276,0.240560
277,0.301375
278,0.342686
279,0.268019
280,0.247194
281,0.321450
282,0.400363
283,0.282308
284,0.341076
285,0.294014
286,0.342149
287,0.372385
288,0.428080
289,0.211883
290,0.303612
291,0.360009
292,0.355438
293,0.457930
294,0.450127
295,0.281891
296,0.317824
297,0.258072
298,0.289242
299,0.399943
300,0.259426
301,0.312602
302,0.320900
303,0.344720
304,0.319454
305,0.454056
306,0.336276
307,0.392978
308,0.321728
309,0.254816
310,0.446532
311,0.266416
312,0.338843
313,0.297125
314,0.322046
315,0.348099
316,0.295045
317,0.285040
318,0.407221
319,0.369273
320,0.348546
321,0.422792
322,0.391073
323,0.304411
324,0.331010
325,0.359218
326,0.468703
327,0.299241
328,0.317915
329,0.414118
330,0.359629
331,0.473746
332,0.355446
333,0.368943
334,0.365185
335,0.302575
336,0.380191
337,0.386617
338,0.366031
339,0.243611
340,0.378240
341,0.368257
342,0.244054
343,0.359822
344,0.276243
345,0.363583
346,0.307651
347,0.276648
348,0.357190
349,0.379577
350,0.436735
351,0.419675
352,0.343527
353,0.294010
354,0.319953
355,0.302671
356,0.243184
357,0.275557
358,0.381110
359,0.371439
360,0.338126
361,0.329415
362,0.268591
363,0.371493
364,0.405681
365,0.303991
366,0.381462
367,0.321355
368,0.300285
369,0.368464
370,0.381446
371,0.472715
372,0.342554
373,0.276093
374,0.330060
375,0.326893
376,0.282547
377,0.337361
378,0.352680
379,0.283209
380,0.313217
381,0.387485
382,0.337190
383,0.415860
384,0.297343
385,0.301882
386,0.312586
387,0.475845
388,0.435341
389,0.256591
390,0.314835
391,0.351591
392,0.354115
393,0.266185
394,0.447016
395,0.366984
396,0.222658
397,0.276236
398,0.223482
399,0.404815
400,0.379118
401,0.380684
402,0.365116
403,0.210629
404,0.335711
405,0.308808
406,0.370094
407,0.356441
408,0.400095
409,0.391820
410,0.394923
411,0.395453
412,0.376177
413,0.305155
414,0.245923
415,0.413098
416,0.403875
417,0.409972
418,0.413618
419,0.468986
420,0.328267
421,0.317128
422,0.272042
423,0.303442
424,0.275747
425,0.359024
426,0.294055
427,0.378114
428,0.319924
429,0.251912
430,0.325174
431,0.347199
432,0.410205
433,0.318036
434,0.336383
435,0.297059
436,0.292656
437,0.382937
438,0.246006
439,0.287559
440,0.243688
441,0.421488
442,0.307225
443,0.320843
444,0.272591
445,0.372851
446,0.365909
447,0.426916
448,0.406928
449,0.310159
450,0.459945
451,0.342771
452,0.237802
453,0.331524
454,0.296253
455,0.311963
456,0.424982
457,0.368738
458,0.269838
459,0.490781
460,0.425980
461,0.419527
462,0.385843
463,0.413680
464,0.407086
465,0.344876
466,0.340585
467,0.401246
468,0.312069
469,0.344976
470,0.301655
471,0.331158
472,0.203618
473,0.405500
474,0.249760
475,0.341246
476,0.415206
477,0.328438
478,0.340419
479,0.303058
480,0.273692
481,0.355993
482,0.482407
483,0.315217
484,0.212343
485,0.256149
486,0.384597
487,0.439238
488,0.333811
489,0.357025
490,0.296441
491,0.408534
492,0.306846
493,0.445759
494,0.358870
495,0.378786
496,0.341626
497,0.439789
498,0.407056
499,0.279198
500,0.386664
501,0.451405
502,0.295204
503,0.460216
504,0.317534
505,0.381341
506,0.218404
507,0.373112
508,0.282918
509,0.281154
510,0.301953
511,0.366087
512,0.238347
513,0.309876
514,0.304716
515,0.376351
516,0.297494
517,0.250952
518,0.361305
519,0.459303
520,0.314599
521,0.386057
522,0.313279
523,0.227425
524,0.173639
525,0.317621
526,0.307898
527,0.367372
528,0.336105
529,0.284361
530,0.288110
531,0.405551
532,0.376826
533,0.292705
534,0.364740
535,0.296748
536,0.465179
537,0.383590
538,0.310545
539,0.218838
540,0.273813
541,0.277858
542,0.307752
543,0.301416
544,0.337503
545,0.299006
546,0.313738
547,0.452523
548,0.382008
549,0.226031
550,0.303527
551,0.427849
552,0.374782
553,0.311041
554,0.320811
555,0.314646
556,0.339321
557,0.388499
558,0.475819
559,0.318746
560,0.319460
561,0.360168
562,0.330858
563,0.285280
564,0.465685
565,0.334284
566,0.302511
567,0.409093
568,0.369785
569,0.363168
570,0.283795
571,0.389005
572,0.322172
573,0.352496
574,0.354434
575,0.459496
576,0.399932
577,0.357210
578,0.293546
579,0.370275
580,0.185492
581,0.431027
582,0.309873
583,0.317317
584,0.358432
585,0.280578
586,0.271461
587,0.363310
588,0.368671
589,0.359194
590,0.404898
591,0.381278
592,0.340165
593,0.264314
594,0.358786
595,0.428032
596,0.349745
597,0.284161
598,0.414233
599,0.335881
600,0.419174
601,0.265865
602,0.352019
603,0.334134
604,0.232418
605,0.299085
606,0.419182
607,0.316012
608,0.329876
609,0.323075
610,0.339894
611,0.349663
612,0.434025
613,0.407740
614,0.389117
615,0.339103
616,0.307505
617,0.444329
618,0.245183
619,0.251123
620,0.252610
621,0.328911
622,0.324040
623,0.338270
624,0.366861
625,0.334923
626,0.311124
627,0.366337
628,0.373746
629,0.290380
630,0.292609
631,0.310610
632,0.368247
633,0.400424
634,0.267079
635,0.385302
636,0.384483
637,0.366332
638,0.337261
639,0.329116
640,0.322255
641,0.495371
642,0.335996
643,0.306712
644,0.219174
645,0.354367
646,0.423745
647,0.458722
648,0.280020
649,0.406495
650,0.322947
651,0.307752
652,0.341045
653,0.370386
654,0.333414
655,0.334085
656,0.316107
657,0.317904
658,0.397725
659,0.403742
660,0.378608
661,0.347623
662,0.344788
663,0.365798
664,0.313993
665,0.293906
666,0.343470
667,0.289419
668,0.287445
669,0.330027
670,0.410996
671,0.357961
672,0.292567
673,0.322042
674,0.311132
675,0.282665
676,0.243002
677,0.328328
678,0.442800
679,0.393584
680,0.320349
681,0.239063
682,0.403085
683,0.309805
684,0.356401
685,0.453986
686,0.267419
687,0.427386
688,0.405536
689,0.343694
690,0.312941
691,0.293032
692,0.437381
693,0.430946
694,0.353132
695,0.312199
696,0.266565
697,0.426661
698,0.389900
699,0.373415
700,0.334507
701,0.459952
702,0.401436
703,0.429875
704,0.416121
705,0.206850
706,0.334435
707,0.410967
708,0.303895
709,0.381396
710,0.359228
711,0.307048
712,0.304700
713,0.324794
714,0.321340
715,0.262245
716,0.450888
717,0.376560
718,0.272166
719,0.370106
720,0.307386
721,0.394898
722,0.256308
723,0.300344
724,0.481536
725,0.321330
726,0.335794
727,0.353256
728,0.437943
729,0.379971
730,0.293738
731,0.421260
732,0.298263
733,0.445468
734,0.242056
735,0.272427
736,0.341105
737,0.299264
738,0.402362
739,0.339636
740,0.334673
741,0.334480
742,0.329592
743,0.294370
744,0.361296
745,0.408059
746,0.433803
747,0.376088
748,0.298794
749,0.323603
750,0.369320
751,0.376507
752,0.327554
753,0.288057
754,0.235975
755,0.353047
756,0.269372
757,0.299166
758,0.372813
759,0.408498
760,0.359883
761,0.325117
762,0.369770
763,0.312445
764,0.263275
765,0.423513
766,0.184407
767,0.379352
768,0.369997
769,0.324162
770,0.255612
771,0.507668
772,0.303579
773,0.319940
774,0.279954
775,0.268508
776,0.338331
777,0.425365
778,0.419787
779,0.340293
780,0.412308
781,0.292861
782,0.428937
783,0.398497
784,0.286356
785,0.369449
786,0.382465
787,0.330928
788,0.291588
789,0.299276
790,0.410304
791,0.361081
792,0.426421
793,0.436608
794,0.269384
795,0.251631
796,0.449165
797,0.309033
798,0.449348
799,0.266430
800,0.332987
801,0.427400
