Entered simulation run.
Population initialized.
Variables initialized, preparing to begin simulation.
log average fitness in generation 1154, 102 generations after burn-in, is: -1.047620
log average fitness in generation 1155, 103 generations after burn-in, is: -1.042388
log average fitness in generation 1156, 104 generations after burn-in, is: -1.040996
log average fitness in generation 1157, 105 generations after burn-in, is: -1.038554
log average fitness in generation 1158, 106 generations after burn-in, is: -1.033197
log average fitness in generation 1159, 107 generations after burn-in, is: -1.038542
log average fitness in generation 1160, 108 generations after burn-in, is: -1.037539
log average fitness in generation 1161, 109 generations after burn-in, is: -1.033299
log average fitness in generation 1162, 110 generations after burn-in, is: -1.026286
log average fitness in generation 1163, 111 generations after burn-in, is: -1.019904
log average fitness in generation 1164, 112 generations after burn-in, is: -1.023511
log average fitness in generation 1165, 113 generations after burn-in, is: -1.032930
log average fitness in generation 1166, 114 generations after burn-in, is: -1.038369
log average fitness in generation 1167, 115 generations after burn-in, is: -1.034377
log average fitness in generation 1168, 116 generations after burn-in, is: -1.023030
log average fitness in generation 1169, 117 generations after burn-in, is: -1.028168
log average fitness in generation 1170, 118 generations after burn-in, is: -1.039941
log average fitness in generation 1171, 119 generations after burn-in, is: -1.035600
log average fitness in generation 1172, 120 generations after burn-in, is: -1.038542
log average fitness in generation 1173, 121 generations after burn-in, is: -1.043219
log average fitness in generation 1174, 122 generations after burn-in, is: -1.033728
log average fitness in generation 1175, 123 generations after burn-in, is: -1.032878
log average fitness in generation 1176, 124 generations after burn-in, is: -1.021255
log average fitness in generation 1177, 125 generations after burn-in, is: -1.034901
log average fitness in generation 1178, 126 generations after burn-in, is: -1.044391
log average fitness in generation 1179, 127 generations after burn-in, is: -1.035127
log average fitness in generation 1180, 128 generations after burn-in, is: -1.038489
log average fitness in generation 1181, 129 generations after burn-in, is: -1.036884
log average fitness in generation 1182, 130 generations after burn-in, is: -1.045939
log average fitness in generation 1183, 131 generations after burn-in, is: -1.039157
log average fitness in generation 1184, 132 generations after burn-in, is: -1.017370
log average fitness in generation 1185, 133 generations after burn-in, is: -1.009012
log average fitness in generation 1186, 134 generations after burn-in, is: -1.014164
log average fitness in generation 1187, 135 generations after burn-in, is: -1.017062
log average fitness in generation 1188, 136 generations after burn-in, is: -1.016625
log average fitness in generation 1189, 137 generations after burn-in, is: -1.024661
log average fitness in generation 1190, 138 generations after burn-in, is: -1.038900
log average fitness in generation 1191, 139 generations after burn-in, is: -1.040901
log average fitness in generation 1192, 140 generations after burn-in, is: -1.041136
log average fitness in generation 1193, 141 generations after burn-in, is: -1.050103
log average fitness in generation 1194, 142 generations after burn-in, is: -1.050697
log average fitness in generation 1195, 143 generations after burn-in, is: -1.056319
log average fitness in generation 1196, 144 generations after burn-in, is: -1.053191
log average fitness in generation 1197, 145 generations after burn-in, is: -1.062345
log average fitness in generation 1198, 146 generations after burn-in, is: -1.059176
log average fitness in generation 1199, 147 generations after burn-in, is: -1.056783
log average fitness in generation 1200, 148 generations after burn-in, is: -1.056064
log average fitness in generation 1201, 149 generations after burn-in, is: -1.057559
